Dataset_name,S1,S2,S6,S7,S10,S11
Admissions,0.066,0.066,0.065,0.066,0.066,0.066
Admissions,0.066,0.065,0.065,0.063,0.064,0.063
Admissions,0.066,0.066,0.07,0.068,0.066,0.068
Admissions,0.066,0.07200000000000001,0.069,0.07200000000000001,0.073,0.071
Admissions,0.066,0.077,0.07,0.071,0.066,0.07
Amazon,155.625,155.625,164.808,155.625,190.549,155.625
Amazon,155.625,154.882,169.109,154.882,204.09400000000002,154.882
Amazon,155.625,158.564,172.08900000000003,154.692,225.50099999999998,158.47899999999998
Amazon,155.625,160.811,175.28099999999998,155.334,231.053,158.296
Amazon,155.625,160.77200000000002,176.81599999999997,156.17700000000002,185.138,158.192
Boston,2.963,2.963,3.1860000000000004,2.963,5.21,2.963
Boston,2.963,2.9,3.423,3.278,5.495,3.3
Boston,2.963,3.1310000000000002,4.079,3.568,5.415,2.947
Boston,2.963,3.083,4.172,3.8680000000000003,5.122999999999999,3.342
Boston,2.963,3.802,4.011,2.818,5.3629999999999995,4.176
Crime,355.91,355.91,362.95,355.91,400.402,355.91
Crime,355.91,351.30400000000003,402.545,353.961,433.471,359.395
Crime,355.91,361.755,435.795,359.056,430.798,376.244
Crime,355.91,710.189,442.414,370.87300000000005,455.483,366.527
Crime,355.91,368.76,414.778,384.42699999999996,410.73900000000003,384.195
Diabetes,56.898999999999994,56.898999999999994,55.637,56.898999999999994,56.423,56.898999999999994
Diabetes,56.898999999999994,59.623000000000005,60.14,60.217,55.708,59.973
Diabetes,56.898999999999994,55.681999999999995,58.435,59.74100000000001,63.357,63.394
Diabetes,56.898999999999994,60.266999999999996,66.486,60.323,59.216,63.99100000000001
Diabetes,56.898999999999994,58.613,65.687,61.586000000000006,68.169,61.41
Fish_weights,89.785,89.785,86.74,89.785,101.51700000000001,89.785
Fish_weights,89.785,84.096,92.772,89.116,101.61,88.195
Fish_weights,89.785,86.74799999999999,111.259,89.781,92.741,83.44200000000001
Fish_weights,89.785,86.015,105.82700000000001,83.837,93.369,83.33200000000001
Fish_weights,89.785,89.444,111.022,86.03399999999999,123.119,86.52
Insurance,4675.141,4675.141,4645.268,4675.141,9314.886999999999,4675.141
Insurance,4675.141,4681.188,5143.24,4681.188,9234.054,4681.188
Insurance,4675.141,4810.616,5380.267,4788.267,9390.251,5349.505
Insurance,4675.141,5214.613,5562.227,4855.803,17045.95,16400.172
Insurance,4675.141,5251.151999999999,5543.701,5061.762,17051.485,16400.172
Nhanes,11.9,11.9,11.945,11.9,12.568,11.9
Nhanes,11.9,12.044,12.009,12.103,12.648,12.103
Nhanes,11.9,12.118,12.208,12.136,12.706,12.130999999999998
Nhanes,11.9,12.321,12.270999999999999,12.21,12.885,12.37
Nhanes,11.9,12.333,12.294,12.454,12.985999999999999,12.39
NYE_Airbnb,170.512,170.512,177.942,170.512,232.419,170.512
NYE_Airbnb,170.512,153.575,179.213,183.48,198.53400000000002,183.48
NYE_Airbnb,170.512,158.874,181.842,183.4,201.247,174.574
NYE_Airbnb,170.512,154.626,178.71900000000002,186.4,196.132,183.17
NYE_Airbnb,170.512,176.43099999999998,181.19400000000002,187.138,192.93599999999998,269.248
Student_grades,1.942,1.942,1.885,1.942,4.006,1.942
Student_grades,1.942,1.9409999999999998,1.9809999999999999,1.867,2.454,1.867
Student_grades,1.942,1.942,2.041,1.925,3.792,1.925
Student_grades,1.942,2.211,2.267,1.77,2.495,1.7469999999999999
Student_grades,1.942,1.959,2.3280000000000003,1.875,2.495,1.774
Liver_Disorder,3.057,3.057,3.247,3.057,3.198,3.057
Liver_Disorder,3.057,3.2769999999999997,3.557,3.035,3.12,3.148
Liver_Disorder,3.057,3.315,3.423,3.6060000000000003,3.343,3.0610000000000004
Liver_Disorder,3.057,3.489,3.3560000000000003,3.488,3.3169999999999997,3.665
Liver_Disorder,3.057,3.302,3.2110000000000003,3.339,3.364,3.719
Satellite,0.7170000000000001,0.7170000000000001,0.764,0.7170000000000001,1.51,0.7170000000000001
Satellite,0.7170000000000001,0.72,0.7929999999999999,0.71,1.4880000000000002,0.7140000000000001
Satellite,0.7170000000000001,0.715,0.823,0.7120000000000001,1.568,0.7290000000000001
Satellite,0.7170000000000001,0.7040000000000001,0.835,0.725,1.555,0.754
Satellite,0.7170000000000001,0.736,0.887,0.736,1.5730000000000002,0.748
Wine Quality,0.657,0.657,0.6809999999999999,0.657,0.797,0.657
Wine Quality,0.657,0.647,0.701,0.6609999999999999,0.799,0.66
Wine Quality,0.657,0.6459999999999999,0.706,0.6659999999999999,0.809,0.6659999999999999
Wine Quality,0.657,0.65,0.7190000000000001,0.6679999999999999,0.813,0.6559999999999999
Wine Quality,0.657,0.6579999999999999,0.721,0.6629999999999999,0.821,0.664
Banking Data,0.08199999999999999,0.08199999999999999,0.083,0.08199999999999999,0.125,0.08199999999999999
Banking Data,0.08199999999999999,0.083,0.085,0.083,0.125,0.083
Banking Data,0.08199999999999999,0.084,0.086,0.084,0.129,0.084
Banking Data,0.08199999999999999,0.085,0.08800000000000001,0.085,0.125,0.084
Banking Data,0.08199999999999999,0.087,0.087,0.084,0.131,0.084
Balloon,0.077,0.077,0.076,0.077,0.076,0.077
Balloon,0.077,0.077,0.107,0.077,0.10800000000000001,0.077
Balloon,0.077,0.077,0.11599999999999999,0.077,0.115,0.077
Balloon,0.077,0.077,0.11199999999999999,0.076,0.11199999999999999,0.076
Balloon,0.077,0.077,0.11199999999999999,0.076,0.11199999999999999,0.076
Quake,0.192,0.192,0.18899999999999997,0.192,0.196,0.192
Quake,0.192,0.195,0.18899999999999997,0.191,0.195,0.191
Quake,0.192,0.19699999999999998,0.191,0.19399999999999998,0.2,0.19399999999999998
Quake,0.192,0.198,0.19399999999999998,0.19699999999999998,0.19899999999999998,0.196
Quake,0.192,0.2,0.203,0.19899999999999998,0.19699999999999998,0.198
Auto Price,2448.317,2448.317,2476.197,2448.317,4088.717,2448.317
Auto Price,2448.317,2418.409,10784.896999999999,2261.501,7800.568,3101.1040000000003
Auto Price,2448.317,2495.706,9705.53,3080.955,7942.08,3641.127
Auto Price,2448.317,2520.647,9664.112,3136.486,8292.673,3416.117
Auto Price,2448.317,3908.14,9627.716,3699.716,8271.951,4208.643
Friedman,1.034,1.034,1.44,1.034,4.022,1.034
Friedman,1.034,1.053,1.454,1.046,4.047,1.046
Friedman,1.034,1.075,1.463,1.048,4.056,1.057
Friedman,1.034,1.085,1.4680000000000002,1.057,4.05,1.069
Friedman,1.034,1.089,1.479,1.057,4.071000000000001,1.078
Online News,10735.125,10735.125,10835.169,10735.125,10755.264,10735.125
Online News,10735.125,10803.169,13301.413999999999,11051.728000000001,13753.171,11034.781
Online News,10735.125,11237.521999999999,13630.347,12221.86,14278.18,15566.906
Online News,10735.125,10980.506000000001,13401.186000000002,11774.192,11253.61,11565.505
Online News,10735.125,11240.089,11153.25,11612.193000000001,11269.91,11628.145
